# Directed graph (each unordered pair of nodes is saved once): web-Stanford.txt 
# Stanford web graph from 2002
# Nodes: 281903 Edges: 2312497
# FromNodeId	ToNodeId
1	6548
1	15409
6548	57031
15409	13102
2	17794
2	25202
2	53625
2	54582
2	64930
2	73764
2	84477
2	98628
2	100193
2	102355
2	105318
2	105730
2	115926
2	140864
2	163550
2	164599
2	175799
2	178642
2	181714
2	190453
2	204189
2	204604
2	210870
2	213966
2	225119
2	241596
2	243294
2	246897
2	251658
2	252915
2	280935
252915	2
246897	2
246897	78056
251658	2
280935	2
213966	2
213966	47149
243294	2
225119	2
241596	2
178642	2
210870	2
204189	2
190453	2
204604	2
181714	2
164599	2
175799	2
163550	2
140864	2
115926	2
73764	2
105730	2
105730	18816
105730	182456
98628	2
84477	2
105318	2
100193	2
102355	2
64930	2
54582	2
53625	2
25202	2
17794	2
3	74361
74361	7213
74361	10365
74361	18412
74361	21315
74361	25126
74361	28140
74361	40745
74361	47352
74361	58718
74361	60036
74361	83203
74361	100770
74361	120861
74361	123955
74361	133747
74361	146989
74361	152019
74361	153900
74361	176541
74361	192120
74361	198821
74361	215600
74361	220070
74361	224643
74361	226411
74361	239874
74361	255694
74361	264216
74361	266083
74361	268261
4	35716
4	96512
4	186750
4	225872
225872	829
225872	3776
225872	3869
225872	4514
225872	5030
225872	5682
225872	9722
225872	10901
225872	11020
225872	12034
225872	13719
225872	13855
225872	14525
225872	15781
225872	15815
225872	17253
225872	17567
225872	17745
225872	18687
225872	18811
225872	20206
225872	21976
225872	22429
225872	23805
225872	24206
225872	24838
225872	26090
225872	29597
225872	31926
225872	34500
225872	35616
225872	39657
225872	42593
225872	45686
225872	47795
225872	49102
225872	49561
225872	50574
225872	53654
225872	54456
225872	55457
225872	57328
225872	58846
225872	59590
225872	60562
225872	61586
225872	62941
225872	63835
225872	64598
225872	65243
225872	66757
225872	70290
225872	70671
225872	70993
225872	71430
225872	71716
225872	73205
225872	75782
225872	76836
225872	77816
225872	83071
225872	84820
225872	85879
225872	86333
225872	90918
225872	92226
225872	92827
225872	94452
225872	95869
225872	96811
225872	96899
225872	99059
225872	99371
225872	99515
225872	99622
225872	104318
225872	106804
225872	107669
225872	113763
225872	115739
225872	118374
225872	119687
225872	121298
225872	122938
225872	124603
225872	124927
225872	125782
225872	126731
225872	127058
225872	130889
225872	134079
225872	134231
225872	136090
225872	136387
225872	138909
225872	139074
225872	141160
225872	145296
225872	145736
225872	145790
225872	146785
225872	149922
225872	150649
225872	152190
225872	152357
225872	153026
225872	153865
225872	153889
225872	158429
225872	160056
225872	161514
225872	164644
225872	165022
225872	167080
225872	167818
225872	172912
225872	172998
225872	174328
225872	176422
225872	178388
225872	179118
225872	179649
225872	186448
225872	186867
225872	188574
225872	190207
225872	190548
225872	191362
225872	191572
225872	192798
225872	193453
225872	196492
225872	199385
225872	200890
225872	201132
225872	203452
225872	204451
225872	204641
225872	205332
225872	205773
225872	207578
225872	211300
225872	211410
225872	212469
225872	217423
225872	219455
225872	222599
225872	222773
225872	224827
225872	225425
225872	227734
225872	227938
225872	229240
225872	233335
225872	234409
225872	236424
225872	238532
225872	239998
225872	241189
225872	242416
225872	243800
225872	247221
225872	249267
225872	251129
225872	252104
225872	255131
225872	256420
225872	257491
225872	257592
225872	258742
225872	258750
225872	259429
225872	260292
225872	262222
225872	263663
225872	263832
225872	264415
225872	267584
225872	270147
225872	270464
225872	271308
225872	273590
225872	274240
225872	274389
225872	277002
225872	279416
225872	279450
225872	280681
225872	280895
186750	5030
186750	13719
186750	17567
186750	20715
186750	23805
186750	45686
186750	49102
186750	59590
186750	70993
186750	86507
186750	108157
186750	119687
186750	122938
186750	145296
186750	153026
186750	161514
186750	167818
186750	205332
186750	217423
186750	260143
186750	274389
96512	186750
96512	225872
35716	186750
35716	225872
5	6545
5	14395
5	59745
5	67503
5	134375
5	170452
5	220513
220513	14395
220513	67503
220513	91194
220513	134375
